rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
440,John Konchar,SG/SF,UTA,30.4,727,580,0.472,0.727,0.5,4.4,4.3,2.1,1.5,0.7,0.6
441,James Wiseman,C,IND,25.4,635,775,0.600,0.500,0.0,3.3,2.0,0.8,0.0,0.3,1.3
442,Bobi Klintman,PF,DET,23.5,526,932,0.333,0.000,0.3,1.8,1.6,0.5,0.3,0.0,0.5
443,Terance Mann,SG/SF,BKN,29.9,629,788,0.458,0.788,0.9,7.2,3.2,3.0,0.7,0.2,1.1
444,Duop Reath,C,ATL,30.2,558,888,0.446,0.833,0.7,2.9,1.2,0.3,0.2,0.3,0.2
445,Maxi Kleber,PF/C,LAL,34.6,728,578,0.452,0.538,0.1,2.0,2.0,0.6,0.4,0.3,0.4
446,Georges Niang,PF,MEM,33.2,577,875,,,,,,,,,
447,Keon Johnson,PG/SG,BKN,24.5,487,972,,,,,,,,,
448,Ariel Hukporti,C,PHI,24.4,548,896,0.562,0.788,0.0,2.2,3.0,0.5,0.2,0.5,0.6
449,Spencer Dinwiddie,PG/SG,CHA,33.4,696,597,,,,,,,,,
450,Malaki Branham,SG/SF,CHA,23.3,660,674,0.473,0.824,0.5,4.6,1.6,0.8,0.4,0.1,0.5
451,Dante Exum,PG/SG,WAS,31.1,713,585,,,,,,,,,
452,Eric Gordon,SG/SF,MEM,37.7,695,599,0.571,0.500,1.3,5.5,0.3,0.5,0.7,0.2,0.5
453,Kentavious Caldwell-Pope,SG/SF,PHI,33.5,649,711,0.410,0.912,1.1,8.4,2.5,2.7,0.8,0.2,1.2
454,Markelle Fultz,PG/SG,TOR,28.3,621,811,0.182,0.000,0.0,0.8,0.2,1.6,0.4,0.0,0.8
455,Jabari Walker,PF/C,PHI,24.1,566,881,0.455,0.735,0.5,4.3,3.0,0.5,0.4,0.2,0.4
456,Craig Porter Jr.,PG/SG,CLE,26.5,434,1001,0.450,0.600,0.5,4.5,3.4,3.2,0.9,0.6,0.9
457,Matisse Thybulle,SG/SF,LAL,29.5,673,627,0.433,0.840,1.2,5.8,2.0,0.9,2.0,0.5,0.9
